"Date","spy.us"
"03/28/2012","136.99"
"03/27/2012","137.67"
"03/26/2012","138.10"
"03/23/2012","136.19"
"03/22/2012","135.75"
"03/21/2012","136.74"
"03/20/2012","136.96"
"03/19/2012","137.36"
"03/16/2012","136.83"
"03/15/2012","136.64"
"03/14/2012","135.85"
"03/13/2012","136.00"
"03/12/2012","133.59"
"03/09/2012","133.58"
"03/08/2012","133.06"
"03/07/2012","131.75"
"03/06/2012","130.84"
"03/05/2012","132.78"
"03/02/2012","133.32"
"03/01/2012","133.73"
"02/29/2012","133.05"
"02/28/2012","133.57"
"02/27/2012","133.18"
"02/24/2012","132.96"
"02/23/2012","132.67"
"02/22/2012","132.08"
"02/21/2012","132.51"
"02/17/2012","132.45"
"02/16/2012","132.10"
"02/15/2012","130.66"
"02/14/2012","131.27"
"02/13/2012","131.43"
"02/10/2012","130.46"
"02/09/2012","131.43"
"02/08/2012","131.27"
"02/07/2012","130.88"
"02/06/2012","130.55"
"02/03/2012","130.64"
"02/02/2012","128.83"
"02/01/2012","128.63"
"01/31/2012","127.51"
"01/30/2012","127.56"
"01/27/2012","128.00"
"01/26/2012","128.05"
"01/25/2012","128.71"
"01/24/2012","127.65"
"01/23/2012","127.79"
"01/20/2012","127.72"
"01/19/2012","127.65"
"01/18/2012","126.98"
"01/17/2012","125.59"
"01/13/2012","125.10"
"01/12/2012","125.75"
"01/11/2012","125.45"
"01/10/2012","125.38"
"01/09/2012","124.31"
"01/06/2012","124.00"
"01/05/2012","124.32"
"01/04/2012","123.99"
"01/03/2012","123.80"
"12/30/2011","121.86"
"12/29/2011","122.46"
"12/28/2011","121.21"
"12/27/2011","122.82"
"12/23/2011","122.72"
"12/22/2011","121.64"
"12/21/2011","120.57"
"12/20/2011","120.33"
"12/19/2011","116.80"
"12/16/2011","118.06"
"12/15/2011","117.90"
"12/14/2011","117.46"
"12/13/2011","118.72"
"12/12/2011","119.85"
"12/09/2011","121.63"
"12/08/2011","119.60"
"12/07/2011","122.28"
"12/06/2011","121.82"
"12/05/2011","121.79"
"12/02/2011","120.47"
"12/01/2011","120.58"
"11/30/2011","120.60"
"11/29/2011","115.83"
"11/28/2011","115.50"
"11/25/2011","112.25"
"11/23/2011","112.46"
"11/22/2011","115.00"
"11/21/2011","115.46"
"11/18/2011","117.69"
"11/17/2011","117.82"
"11/16/2011","119.72"
"11/15/2011","121.65"
"11/14/2011","121.05"
"11/11/2011","122.21"
"11/10/2011","119.95"
"11/09/2011","118.83"
"11/08/2011","123.39"
"11/07/2011","121.82"
"11/04/2011","121.07"
"11/03/2011","121.81"
"11/02/2011","119.63"
"11/01/2011","117.71"
"10/31/2011","121.09"
"10/28/2011","124.08"
"10/27/2011","124.11"
"10/26/2011","119.93"
"10/25/2011","118.73"
"10/24/2011","121.08"
"10/21/2011","119.61"
"10/20/2011","117.39"
"10/19/2011","116.87"
"10/18/2011","118.27"
"10/17/2011","116.01"
"10/14/2011","118.26"
"10/13/2011","116.28"
"10/12/2011","116.51"
"10/11/2011","115.49"
"10/10/2011","115.38"
"10/07/2011","111.64"
"10/06/2011","112.40"
"10/05/2011","110.40"
"10/04/2011","108.39"
"10/03/2011","106.07"
"09/30/2011","109.18"
"09/29/2011","111.97"
"09/28/2011","111.10"
"09/27/2011","113.41"
"09/26/2011","112.16"
"09/23/2011","109.55"
"09/22/2011","108.89"
"09/21/2011","112.53"
"09/20/2011","115.95"
"09/19/2011","116.08"
"09/16/2011","117.25"
"09/15/2011","116.56"
"09/14/2011","114.59"
"09/13/2011","113.01"
"09/12/2011","111.99"
"09/09/2011","111.27"
"09/08/2011","114.27"
"09/07/2011","115.47"
"09/06/2011","112.30"
"09/02/2011","113.12"
"09/01/2011","116.09"
"08/31/2011","117.31"
"08/30/2011","116.80"
"08/29/2011","116.49"
"08/26/2011","113.24"
"08/25/2011","111.62"
"08/24/2011","113.34"
"08/23/2011","111.77"
"08/22/2011","108.21"
"08/19/2011","108.12"
"08/18/2011","109.92"
"08/17/2011","114.87"
"08/16/2011","114.79"
"08/15/2011","115.78"
"08/12/2011","113.38"
"08/11/2011","112.62"
"08/10/2011","107.79"
"08/09/2011","112.77"
"08/08/2011","107.76"
"08/05/2011","115.26"
"08/04/2011","115.44"
"08/03/2011","121.11"
"08/02/2011","120.45"
"08/01/2011","123.62"
"07/29/2011","124.14"
"07/28/2011","125.00"
"07/27/2011","125.36"
"07/26/2011","127.98"
"07/25/2011","128.46"
"07/22/2011","129.18"
"07/21/2011","129.10"
"07/20/2011","127.33"
"07/19/2011","127.41"
"07/18/2011","125.37"
"07/15/2011","126.41"
"07/14/2011","125.68"
"07/13/2011","126.55"
"07/12/2011","126.13"
"07/11/2011","126.68"
"07/08/2011","129.01"
"07/07/2011","129.93"
"07/06/2011","128.60"
"07/05/2011","128.44"
"07/01/2011","128.55"
"06/30/2011","126.67"
"06/29/2011","125.48"
"06/28/2011","124.41"
"06/27/2011","122.81"
"06/24/2011","121.72"
"06/23/2011","123.16"
"06/22/2011","123.51"
"06/21/2011","124.26"
"06/20/2011","122.58"
"06/17/2011","121.96"
"06/16/2011","121.59"
"06/15/2011","121.32"
"06/14/2011","123.52"
"06/13/2011","121.97"
"06/10/2011","121.88"
"06/09/2011","123.60"
"06/08/2011","122.67"
"06/07/2011","123.17"
"06/06/2011","123.26"
"06/03/2011","124.57"
"06/02/2011","125.82"
"06/01/2011","125.96"
"05/31/2011","128.85"
"05/27/2011","127.52"
"05/26/2011","127.04"
"05/25/2011","126.45"
"05/24/2011","126.03"
"05/23/2011","126.14"
"05/20/2011","127.62"
"05/19/2011","128.64"
"05/18/2011","128.34"
"05/17/2011","127.20"
"05/16/2011","127.22"
"05/13/2011","128.03"
"05/12/2011","129.02"
"05/11/2011","128.41"
"05/10/2011","129.78"
"05/09/2011","128.68"
"05/06/2011","128.18"
"05/05/2011","127.62"
"05/04/2011","128.79"
"05/03/2011","129.64"
"05/02/2011","130.11"
"04/29/2011","130.32"
"04/28/2011","130.01"
"04/27/2011","129.59"
"04/26/2011","128.75"
"04/25/2011","127.65"
"04/21/2011","127.78"
"04/20/2011","127.13"
"04/19/2011","125.42"
"04/18/2011","124.71"
"04/15/2011","126.12"
"04/14/2011","125.66"
"04/13/2011","125.57"
"04/12/2011","125.58"
"04/11/2011","126.52"
"04/08/2011","126.90"
"04/07/2011","127.34"
"04/06/2011","127.67"
"04/05/2011","127.27"
"04/04/2011","127.29"
"04/01/2011","127.18"
"03/31/2011","126.65"
"03/30/2011","126.82"
"03/29/2011","125.95"
"03/28/2011","125.11"
"03/25/2011","125.41"
"03/24/2011","125.03"
"03/23/2011","123.85"
"03/22/2011","123.49"
"03/21/2011","123.92"
"03/18/2011","122.03"
"03/17/2011","121.59"
"03/16/2011","120.00"
"03/15/2011","122.27"
"03/14/2011","123.68"
"03/11/2011","124.44"
"03/10/2011","123.58"
"03/09/2011","125.91"
"03/08/2011","126.09"
"03/07/2011","125.00"
"03/04/2011","125.99"
"03/03/2011","126.94"
"03/02/2011","124.79"
"03/01/2011","124.52"
"02/28/2011","126.63"
"02/25/2011","125.85"
"02/24/2011","124.52"
"02/23/2011","124.61"
"02/22/2011","125.38"
"02/18/2011","127.95"
"02/16/2011","127.30"
"02/15/2011","126.50"
"02/14/2011","126.90"
"02/11/2011","126.60"
"02/10/2011","125.84"
"02/09/2011","125.80"
"02/08/2011","126.08"
"02/07/2011","125.51"
"02/04/2011","124.73"
"02/03/2011","124.38"
"02/02/2011","124.10"
"02/01/2011","124.34"
"01/31/2011","122.38"
"01/28/2011","121.47"
"01/27/2011","123.63"
"01/26/2011","123.32"
"01/25/2011","122.85"
"01/24/2011","122.78"
"01/21/2011","122.09"
"01/20/2011","121.81"
"01/19/2011","121.97"
"01/18/2011","123.18"
"01/14/2011","122.97"
"01/13/2011","122.09"
"01/12/2011","122.29"
"01/11/2011","121.19"
"01/10/2011","120.77"
"01/07/2011","120.92"
"01/06/2011","121.16"
"01/05/2011","121.39"
"01/04/2011","120.77"
"01/03/2011","120.83"
"12/31/2010","119.60"
"12/30/2010","119.56"
"12/29/2010","119.76"
"12/28/2010","119.67"
"12/27/2010","119.50"
"12/23/2010","119.45"
"12/22/2010","119.62"
"12/21/2010","119.25"
"12/20/2010","118.50"
"12/17/2010","118.22"
"12/16/2010","118.71"
"12/15/2010","118.03"
"12/14/2010","118.57"
"12/13/2010","118.46"
"12/10/2010","118.39"
"12/09/2010","117.70"
"12/08/2010","117.25"
"12/07/2010","116.82"
"12/06/2010","116.75"
"12/03/2010","116.88"
"12/02/2010","116.56"
"12/01/2010","115.09"
"11/30/2010","112.69"
"11/29/2010","113.33"
"11/26/2010","112.99"
"11/24/2010","114.32"
"11/23/2010","112.65"
"11/22/2010","114.31"
"11/19/2010","114.40"
"11/18/2010","114.09"
"11/17/2010","112.43"
"11/16/2010","112.38"
"11/15/2010","114.16"
"11/12/2010","114.32"
"11/11/2010","115.69"
"11/10/2010","116.12"
"11/09/2010","115.66"
"11/08/2010","116.50"
"11/05/2010","116.72"
"11/04/2010","116.28"
"11/03/2010","114.08"
"11/02/2010","113.63"
"11/01/2010","112.73"
"10/29/2010","112.69"
"10/28/2010","112.61"
"10/27/2010","112.59"
"10/26/2010","112.91"
"10/25/2010","112.89"
"10/22/2010","112.56"
"10/21/2010","112.35"
"10/20/2010","112.10"
"10/19/2010","111.02"
"10/18/2010","112.74"
"10/15/2010","111.94"
"10/14/2010","111.71"
"10/13/2010","112.15"
"10/12/2010","111.28"
"10/11/2010","110.94"
"10/08/2010","110.84"
"10/07/2010","110.22"
"10/06/2010","110.35"
"10/05/2010","110.36"
"10/04/2010","108.18"
"10/01/2010","109.00"
"09/30/2010","108.55"
"09/29/2010","108.87"
"09/28/2010","109.06"
"09/27/2010","108.68"
"09/24/2010","109.20"
"09/23/2010","106.99"
"09/22/2010","107.87"
"09/21/2010","108.40"
"09/20/2010","108.62"
"09/17/2010","106.98"
"09/16/2010","107.52"
"09/15/2010","107.55"
"09/14/2010","107.14"
"09/13/2010","107.20"
"09/10/2010","106.02"
"09/09/2010","105.49"
"09/08/2010","105.01"
"09/07/2010","104.27"
"09/03/2010","105.46"
"09/02/2010","104.11"
"09/01/2010","103.15"
"08/31/2010","100.16"
"08/30/2010","100.16"
